dataset,optimizer,batch_size,final_test_acc,top_hessian,sharpness
FashionMNIST,sgd,32,0.8949,0.778,0.00086
FashionMNIST,sgd,32,0.8934,1.24,0.00102
FashionMNIST,sgd,32,0.8872,2.338,0.0014
FashionMNIST,sgd,64,0.9102,1.599,0.00049
FashionMNIST,sgd,64,0.9015,1.811,0.00051
FashionMNIST,sgd,64,0.8991,1.605,0.00051
FashionMNIST,sgd,128,0.9117,2.616,0.00028
FashionMNIST,sgd,128,0.9097,4.447,0.00064
FashionMNIST,sgd,128,0.9165,3.322,0.00067
FashionMNIST,sgd,256,0.9116,7.195,0.00061
FashionMNIST,sgd,256,0.915,9.265,0.00103
FashionMNIST,sgd,256,0.9208,8.297,0.00019
FashionMNIST,sgd,512,0.9081,16.769,0.00221
FashionMNIST,sgd,512,0.9191,15.351,0.00028
FashionMNIST,sgd,512,0.9205,19.632,0.00036
FashionMNIST,sgd,1024,0.9091,28.273,0.00048
FashionMNIST,sgd,1024,0.9149,33.911,0.00062
FashionMNIST,sgd,1024,0.9162,35.904,0.00046
FashionMNIST,adam,32,0.9128,25.987,0.00134
FashionMNIST,adam,32,0.9152,25.824,0.00188
FashionMNIST,adam,32,0.9129,17.076,0.00116
FashionMNIST,adam,64,0.9191,74.93330383300781,0.0006710775196552277
FashionMNIST,adam,128,0.9212,66.56932830810547,0.0012306571006774902
FashionMNIST,adam,256,0.901,113.37183380126953,0.0014962255954742432
FashionMNIST,adam,512,0.8939,127.54461669921875,0.001356378197669983
FashionMNIST,adam,1024,0.8892,162.06983947753906,0.0016176849603652954
FashionMNIST,adam,64,0.9193,41.96596145629883,0.0007809288799762726
FashionMNIST,adam,128,0.9247,83.22923278808594,0.0006340816617012024
FashionMNIST,adam,256,0.9156,81.17344665527344,0.0007455870509147644
FashionMNIST,adam,512,0.8966,117.03189086914062,0.002367347478866577
FashionMNIST,adam,1024,0.8974,130.98341369628906,0.00037851929664611816
FashionMNIST,adam,64,0.9155,40.13197708129883,0.0014555864036083221
FashionMNIST,adam,128,0.9156,48.72654724121094,0.0011810660362243652
FashionMNIST,adam,256,0.9179,94.55403900146484,0.0008490085601806641
FashionMNIST,adam,512,0.9032,97.29553985595703,0.001552879810333252
FashionMNIST,adam,1024,0.8918,130.6788330078125,0.0011839717626571655
