dataset,optimizer,batch_size,seed,final_test_acc,top_hessian,sharpness
FashionMNIST,sgd,32,0,0.8949,0.778,0.00086
FashionMNIST,sgd,32,1,0.8934,1.24,0.00102
FashionMNIST,sgd,32,2,0.8872,2.338,0.0014
FashionMNIST,sgd,64,0,0.9102,1.599,0.00049
FashionMNIST,sgd,64,1,0.9015,1.811,0.00051
FashionMNIST,sgd,64,2,0.8991,1.605,0.00051
FashionMNIST,sgd,128,0,0.9117,2.616,0.00028
FashionMNIST,sgd,128,1,0.9097,4.447,0.00064
FashionMNIST,sgd,128,2,0.9165,3.322,0.00067
FashionMNIST,sgd,256,0,0.9116,7.195,0.00061
FashionMNIST,sgd,256,1,0.915,9.265,0.00103
FashionMNIST,sgd,256,2,0.9208,8.297,0.00019
FashionMNIST,sgd,512,0,0.9081,16.769,0.00221
FashionMNIST,sgd,512,1,0.9191,15.351,0.00028
FashionMNIST,sgd,512,2,0.9205,19.632,0.00036
FashionMNIST,sgd,1024,0,0.9091,28.273,0.00048
FashionMNIST,sgd,1024,1,0.9149,33.911,0.00062
FashionMNIST,sgd,1024,2,0.9162,35.904,0.00046
FashionMNIST,adam,32,0,0.9128,25.987,0.00134
FashionMNIST,adam,32,1,0.9152,25.824,0.00188
FashionMNIST,adam,32,2,0.9129,17.076,0.00116
